category,tag_id,proposed_label,test,source_metric,kind,stream,criterion_id,differential_hint,cutoff,current_cutoff,current_fire_pct,cutoff_source,cutoff_pctile,break_depth,valid_for,fire_pct,not_evaluable_pct,fire_pct_extended,not_evaluable_pct_extended,fire_pct_truncated,not_evaluable_pct_truncated,fire_pct_separate,not_evaluable_pct_separate,max_jaccard,nearest_tag,examples_on,examples_off,blocked,note,decision,reviewer_notes
S,isoform_motifs_summary_sh3_classii_density_per100aa_hi,Many SH3 class-II motifs,isoform_motifs_summary.SH3_ClassII_density_per100aa >= 0.018,isoform_motifs_summary.SH3_ClassII_density_per100aa,code,sweep,,False,0.018000046875,,,break,84.0,0.9333333333333332,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,16.36,0.0,22.28,0.0,15.41,0.0,5.86,0.0,0.247,isoform_motifs_summary_sh3_classi_hi,"APC, ASPM, CBX1","ACBD5, ADAR, AJUBA",,,remove,"[whole-protein] A whole-protein motif density: r=0.636 and 75.7% identical to the canonical protein's own value. Dominated by the shared core, so it describes the gene rather than the alternative isoform."
S,cmp_biophysics_rg_fg_density_shared_lo,RG/FG-poor core,cmp_biophysics_rg_fg_density_shared < 0.0627837,cmp_biophysics_rg_fg_density_shared,code,sweep,,False,0.0627836718750004,,,break,29.0,0.9817073170731708,extended|truncated,25.41,8.82,16.42,1.86,28.42,2.17,,100.0,0.288,s2_biophysics_tx_abs_fraction_charged_delta,"ATP9A, NUCKS1, UBE2D2","ACBD5, AJUBA, ASPM",,,remove,"[gene property] Measures the SHARED / canonical region — the part the isoform retains unchanged. That is a property of the gene, not of the isoform's difference."
S,cmp_biophysics_longest_homopolymer_unique_lo,No homopolymer run,cmp_biophysics_longest_homopolymer_unique < 1.23438,cmp_biophysics_longest_homopolymer_unique,code,sweep,,False,1.234375,,,break,12.0,1.0,extended|truncated,14.7,8.82,22.7,1.86,12.01,2.17,,100.0,0.289,cmp_biophysics_aromaticity_unique_lo,"CBX1, CBX5, HSP90AA1","ACBD5, AJUBA, ASPM",,,,
S,isoform_motifs_summary_eb1_sxip_density_per100aa_hi,Many EB1 SxIP motifs,isoform_motifs_summary.EB1_SxIP_density_per100aa >= 0.022048,isoform_motifs_summary.EB1_SxIP_density_per100aa,code,sweep,,False,0.02204803125,,,break,68.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,32.51,0.0,38.86,0.0,32.73,0.0,8.78,0.0,0.326,isoform_conservation_frame_summary_tree_loaded,"APC, ASPM, ATP9A","ACBD5, ADAR, AJUBA",,,remove,"[whole-protein] A whole-protein motif density: r=0.601 and 54.5% identical to the canonical protein's own value. Dominated by the shared core, so it describes the gene rather than the alternative isoform."
S,cmp_biophysics_aromaticity_unique_lo,Unique region non-aromatic,cmp_biophysics_aromaticity_unique < 0.00511652,cmp_biophysics_aromaticity_unique,code,sweep,,False,0.0051165234375,,,break,22.0,1.0,extended|truncated,26.53,8.82,42.7,1.86,21.1,2.17,,100.0,0.334,d2_initiation_efficiency_tx_max_initiation_efficiency,"ASPM, CBX1, CBX5","ACBD5, AJUBA, ATP9A",,,,
S,cmp_biophysics_aromaticity_ratio_hi,Unique region aromatic,cmp_biophysics_aromaticity_ratio >= 1,cmp_biophysics_aromaticity_ratio,code,sweep,,False,1.0,,,anchor,64.0,,extended|truncated,33.77,9.64,24.24,2.06,37.0,3.28,,100.0,0.338,isoform_conservation_frame_summary_tree_loaded,"ACBD5, AJUBA, CDC34","ASPM, ATP9A, CBX1",,,,
S,cmp_biophysics_fraction_lcr_shared_lo,Low-complexity-poor core,cmp_biophysics_fraction_lcr_shared < 0.0126469,cmp_biophysics_fraction_lcr_shared,code,sweep,,False,0.0126468984375,,,break,34.0,0.8461538461538461,extended|truncated,30.63,8.82,22.03,1.86,33.52,2.17,,100.0,0.347,isoform_structure_ptm_canonical_hi,"ATP9A, GBE1, LGALS1","ACBD5, AJUBA, ASPM",,,remove,"[gene property] Measures the SHARED / canonical region — the part the isoform retains unchanged. That is a property of the gene, not of the isoform's difference."
S,cmp_biophysics_aa_diversity_ratio_hi,Unique region varied,cmp_biophysics_aa_diversity_ratio >= 1,cmp_biophysics_aa_diversity_ratio,code,sweep,,False,1.0,,,anchor,77.0,,extended|truncated,36.52,8.82,33.99,1.86,37.38,2.17,,100.0,0.365,isoform_conservation_frame_summary_tree_loaded,"ACBD5, AJUBA, ATP9A","ASPM, CBX1, CBX1",,,,
S,isoform_motifs_summary_density_1433_per100aa_hi,Many 14-3-3 motifs,isoform_motifs_summary.density_1433_per100aa >= 0.0252023,isoform_motifs_summary.density_1433_per100aa,code,sweep,,False,0.0252023437499999,,,break,64.0,0.9923076923076924,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,36.57,0.0,44.69,0.0,36.3,0.0,11.71,0.0,0.367,isoform_conservation_frame_summary_tree_loaded,"AJUBA, APC, ASPM","ACBD5, ADAR, ATP9A",,,remove,"[whole-protein] A whole-protein motif density: r=0.607 and 49.3% identical to the canonical protein's own value. Dominated by the shared core, so it describes the gene rather than the alternative isoform."
S,cmp_biophysics_longest_homopolymer_delta_magnitude,Homopolymer length shifts,abs:cmp_biophysics_longest_homopolymer_delta >= 0.164062,abs:cmp_biophysics_longest_homopolymer_delta,code,sweep,,True,0.1640625,,,break,73.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,27.59,0.0,12.53,0.0,27.98,0.0,74.77,0.0,0.371,s2_biophysics_tx_abs_fraction_charged_delta,"ADAR, CBX1, CBX1","ACBD5, AJUBA, APC",,magnitude of a signed delta — direction carries no information here,,
S,cmp_biophysics_fraction_charged_ratio_hi,Unique region charged,cmp_biophysics_fraction_charged_ratio >= 1.02782,cmp_biophysics_fraction_charged_ratio,code,enriched,,False,1.0278229869109563,,,percentile,60.0,,extended|truncated,37.3,8.82,29.26,1.86,40.0,2.17,,100.0,0.373,isoform_conservation_frame_summary_tree_loaded,"ASPM, ATP9A, CBX1","ACBD5, AJUBA, CBX1",,"re-derived from the *_enriched boolean, whose 1.0 cutoff is hardcoded upstream and sits at the median",,
S,isoform_sae_top_gained_feature_index_hi,High gained-feature index,isoform_sae_top_gained_feature_index >= 8731.77,isoform_sae_top_gained_feature_index,code,sweep,,False,8731.7734375,,,break,65.0,0.9903691813804172,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,35.28,0.0,62.86,0.0,24.35,0.0,52.7,0.0,0.378,isoform_plm_vep_mean_llr_unique_region_lo,"ACBD5, ADAR, CBX1","AJUBA, APC, ASPM",,,remove,"[arbitrary identifier] An SAE feature INDEX is a position in a 16,384-entry codebook, not a quantity. Thresholding it is like filtering on gene ID."
S,cmp_biophysics_mean_window_entropy_ratio_hi,Unique region high entropy,cmp_biophysics_mean_window_entropy_ratio >= 1,cmp_biophysics_mean_window_entropy_ratio,code,sweep,,False,1.0,,,anchor,66.0,,extended|truncated,30.11,8.82,17.57,1.86,34.32,2.17,,100.0,0.379,cmp_biophysics_aromaticity_ratio_hi,"ACBD5, AJUBA, ATP9A","ASPM, CBX1, CBX1",,,,
S,cmp_biophysics_longest_homopolymer_shared_lo,No homopolymer in core,cmp_biophysics_longest_homopolymer_shared < 2.21094,cmp_biophysics_longest_homopolymer_shared,code,sweep,,False,2.2109375,,,break,23.0,1.0,extended|truncated,20.1,8.82,12.5,1.86,22.64,2.17,,100.0,0.387,cmp_biophysics_longest_homopolymer_ratio_hi,"EIF2B1, EIF2B1, EIF2B1","ACBD5, AJUBA, ASPM",,,remove,"[gene property] Measures the SHARED / canonical region — the part the isoform retains unchanged. That is a property of the gene, not of the isoform's difference."
S,s2_biophysics_tx_abs_disorder_delta,Disorder shifts,tx:abs_disorder_delta >= 0.0128,tx:abs_disorder_delta,code,criterion,S2_biophysics,True,0.0128,0.05,12.5,percentile,60.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.11,0.0,21.15,0.0,42.13,0.0,84.01,0.0,0.398,isoform_conservation_frame_summary_tree_loaded,"AJUBA, ATP9A, CBX1","ACBD5, ADAR, APC",,,,
S,isoform_sae_top_gained_delta_max_magnitude,Strong feature gained,abs:isoform_sae_top_gained_delta_max >= 8.73268,abs:isoform_sae_top_gained_delta_max,code,sweep,,True,8.732680953124998,,,break,71.0,0.3434343434343434,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,29.28,0.0,28.58,0.0,23.79,0.0,87.39,0.0,0.427,s3_sae_tx_sae_top_delta,"ADAR, APC, ATP9A","ACBD5, AJUBA, ASPM",,magnitude of a signed delta — direction carries no information here,remove,"[separate-ORF artifact] Fires 87% on uORF/uoORF/internal-OOF but under 29% on extensions and truncations. Those ORFs have no shared region and are short, so this tracks that structural fact, not biology."
S,cmp_biophysics_pipi_propensity_ratio_hi,Unique region pi-pi prone,cmp_biophysics_pipi_propensity_ratio >= 1,cmp_biophysics_pipi_propensity_ratio,code,sweep,,False,1.0,,,anchor,63.0,,extended|truncated,38.39,8.9,40.0,1.86,37.85,2.28,,100.0,0.43,cmp_biophysics_aromaticity_ratio_hi,"ACBD5, AJUBA, ATP9A","ASPM, CBX1, CBX1",,,,
S,cmp_biophysics_normalized_complexity_ratio_hi,Unique region complex,cmp_biophysics_normalized_complexity_ratio >= 1,cmp_biophysics_normalized_complexity_ratio,code,sweep,,False,1.0,,,anchor,69.0,,extended|truncated,25.59,8.82,7.91,1.86,31.53,2.17,,100.0,0.434,cmp_biophysics_length_ratio_hi,"ATP9A, CBX1, CBX5","ACBD5, AJUBA, ASPM",,,,
S,cmp_biophysics_disorder_ratio_hi,Unique region disordered,cmp_biophysics_disorder_ratio >= 1.08202,cmp_biophysics_disorder_ratio,code,enriched,,False,1.0820152536640182,,,percentile,60.0,,extended|truncated,44.21,8.82,56.76,1.86,40.0,2.17,,100.0,0.442,isoform_conservation_frame_summary_tree_loaded,"ASPM, CBX1, CDC34","ACBD5, AJUBA, ATP9A",,"re-derived from the *_enriched boolean, whose 1.0 cutoff is hardcoded upstream and sits at the median",,
S,isoform_motifs_summary_cdk_sites_sp_tp_density_per100aa_lo,Few CDK phosphosites,isoform_motifs_summary.CDK_Sites_SP_TP_density_per100aa < 0.10012,isoform_motifs_summary.CDK_Sites_SP_TP_density_per100aa,code,sweep,,False,0.1001197500000006,,,break,23.0,0.9518900343642612,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,22.42,0.0,11.14,0.0,22.17,0.0,63.29,0.0,0.445,isoform_motifs_hits_len_lo,"ADAR, AJUBA, CBX1","ACBD5, APC, ASPM",,,remove,"[whole-protein] A whole-protein motif density: r=0.615 and 9.9% identical to the canonical protein's own value. Dominated by the shared core, so it describes the gene rather than the alternative isoform."
S,s1_domain_change_cmp_interproscan_n_real_domains_changed_in_diff_region,Domain gained or lost,cmp_interproscan_n_real_domains_changed_in_diff_region >= 0.46875,cmp_interproscan_n_real_domains_changed_in_diff_region,code,criterion,S1_domain_change,True,0.46875,1.0,27.28,break,73.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,27.28,0.0,0.27,0.0,38.6,0.0,4.05,0.0,0.447,isoform_plm_vep_n_constrained_positions_unique_hi,"ATP9A, CBX1, FMR1","ACBD5, ADAR, AJUBA",,The >= 1 is hardcoded in the scorer; there is no ScoringConfig field.,,
S,isoform_motifs_hits_len_lo,Few motifs overall,isoform_motifs_hits__len < 4.50227,isoform_motifs_hits__len,code,sweep,,False,4.502265625000028,,,break,46.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,45.5,0.0,30.31,0.0,46.19,0.0,90.09,0.0,0.452,isoform_conservation_frame_summary_tree_loaded,"ADAR, AJUBA, ATP9A","ACBD5, APC, ASPM",,,remove,"[absence of evidence] Fires when the hit list is EMPTY. It conflates 'the module ran and found nothing' with 'the module never ran', and makes missing data look like a finding."
S,cmp_biophysics_pi_ratio_hi,Unique region more basic,cmp_biophysics_pI_ratio >= 1.16009,cmp_biophysics_pI_ratio,code,enriched,,False,1.1600870365604636,,,percentile,60.0,,extended|truncated,45.32,8.82,61.15,1.86,40.0,2.17,,100.0,0.453,isoform_conservation_frame_summary_tree_loaded,"CBX1, CBX1, CBX1","ACBD5, AJUBA, ASPM",,"re-derived from the *_enriched boolean, whose 1.0 cutoff is hardcoded upstream and sits at the median",,
S,cmp_biophysics_instability_index_ratio_hi,Unique region unstable,cmp_biophysics_instability_index_ratio >= 1.09909,cmp_biophysics_instability_index_ratio,code,enriched,,False,1.0990865227365612,,,percentile,60.0,,extended|truncated,45.35,8.9,61.36,2.19,40.0,2.17,,100.0,0.454,isoform_conservation_frame_summary_tree_loaded,"ASPM, CBX1, CBX1","ACBD5, AJUBA, ATP9A",,"re-derived from the *_enriched boolean, whose 1.0 cutoff is hardcoded upstream and sits at the median",,
S,cmp_biophysics_prionlike_fraction_ratio_hi,Prion-like unique region,cmp_biophysics_prionlike_fraction_ratio >= 1.02728,cmp_biophysics_prionlike_fraction_ratio,code,enriched,,False,1.027276726792785,,,percentile,60.0,,extended|truncated,39.81,8.84,39.19,1.86,40.01,2.2,,100.0,0.455,cmp_biophysics_llps_score_ratio_hi,"ASPM, ATP9A, CBX1","ACBD5, AJUBA, CBX1",,"re-derived from the *_enriched boolean, whose 1.0 cutoff is hardcoded upstream and sits at the median",,
S,cmp_biophysics_gravy_ratio_hi,Unique region hydrophobic,cmp_biophysics_gravy_ratio >= 1,cmp_biophysics_gravy_ratio,code,sweep,,False,1.0,,,anchor,62.0,,extended|truncated,38.8,8.82,40.68,1.86,38.17,2.17,,100.0,0.467,cmp_biophysics_disorder_ratio_hi,"ASPM, CBX1, CDC34","ACBD5, AJUBA, ATP9A",,,,
S,s3_sae_tx_sae_top_delta,Interpretable features shift,tx:sae_top_delta >= 11.3758,tx:sae_top_delta,code,criterion,S3_sae,True,11.37578,10.0,42.52,percentile,60.0,,extended|truncated,33.78,6.87,15.19,0.0,40.0,0.0,,100.0,0.472,s1_domain_change_cmp_interproscan_n_real_domains_changed_in_diff_region,"ACBD5, CBX1, CBX1","AJUBA, ASPM, ATP9A",,"Magnitude, not presence: two proteins always differ in hundreds of features.",,
S,cmp_biophysics_longest_homopolymer_ratio_hi,Homopolymer run in unique region,cmp_biophysics_longest_homopolymer_ratio >= 1,cmp_biophysics_longest_homopolymer_ratio,code,sweep,,False,1.0,,,anchor,75.0,,extended|truncated,43.4,8.82,24.32,1.86,49.8,2.17,,100.0,0.487,cmp_biophysics_longest_homopolymer_delta_magnitude,"ACBD5, ATP9A, CBX1","AJUBA, ASPM, CBX1",,,,
S,cmp_biophysics_length_ratio_hi,Long unique region,cmp_biophysics_length_ratio >= 1,cmp_biophysics_length_ratio,code,sweep,,False,1.0,,,anchor,72.0,,extended|truncated,21.42,8.82,0.2,1.86,28.54,2.17,,100.0,0.492,s1_domain_change_cmp_interproscan_n_real_domains_changed_in_diff_region,"ATP9A, NUCKS1","ACBD5, AJUBA, ASPM",,,,
S,isoform_motifs_summary_atm_sites_sq_tq_density_per100aa_lo,Few ATM phosphosites,isoform_motifs_summary.ATM_Sites_SQ_TQ_density_per100aa < 0.0592443,isoform_motifs_summary.ATM_Sites_SQ_TQ_density_per100aa,code,sweep,,False,0.0592443046875,,,break,28.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,27.82,0.0,17.71,0.0,26.54,0.0,75.23,0.0,0.498,isoform_motifs_hits_len_lo,"ADAR, AJUBA, ATP9A","ACBD5, APC, ASPM",,,remove,"[separate-ORF artifact] Fires 75% on uORF/uoORF/internal-OOF but under 27% on extensions and truncations. Those ORFs have no shared region and are short, so this tracks that structural fact, not biology."
S,cmp_biophysics_llps_score_ratio_hi,Phase-separation prone,cmp_biophysics_llps_score_ratio >= 1.02992,cmp_biophysics_llps_score_ratio,code,enriched,,False,1.0299204021784665,,,percentile,60.0,,extended|truncated,42.28,8.82,49.05,1.86,40.0,2.17,,100.0,0.5,cmp_biophysics_fraction_disorder_promoting_ratio_hi,"ASPM, ATP9A, CBX1","ACBD5, AJUBA, CBX1",,"re-derived from the *_enriched boolean, whose 1.0 cutoff is hardcoded upstream and sits at the median",,
S,s2_biophysics_tx_abs_fraction_charged_delta,Charge shifts,tx:abs_fraction_charged_delta >= 0.0128,tx:abs_fraction_charged_delta,code,criterion,S2_biophysics,True,0.0127999999999999,0.05,11.76,percentile,60.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.1,0.0,19.69,0.0,42.28,0.0,87.16,0.0,0.515,s2_biophysics_tx_abs_disorder_delta,"ADAR, AJUBA, ATP9A","ACBD5, APC, ASPM",,,,
S,cmp_motifs_hits_in_diff_region_len_hi,Motifs in unique region,cmp_motifs_hits_in_diff_region__len >= 2.625,cmp_motifs_hits_in_diff_region__len,code,sweep,,True,2.625,,,break,71.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,29.63,0.0,9.81,0.0,37.32,0.0,18.92,0.0,0.558,isoform_plm_vep_n_constrained_positions_unique_hi,"APC, ATP9A, CCT3","ACBD5, ADAR, AJUBA",,,,
S,s2_biophysics_tx_abs_gravy_delta,Hydropathy shifts,tx:abs_gravy_delta >= 0.08096,tx:abs_gravy_delta,code,criterion,S2_biophysics,True,0.08096,0.3,12.86,percentile,60.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.0,0.0,19.3,0.0,42.37,0.0,86.26,0.0,0.582,s2_biophysics_tx_abs_fraction_charged_delta,"ADAR, AJUBA, ATP9A","ACBD5, APC, ASPM",,S2 is any-of-three; the other two are separate candidates.,,
S,cmp_biophysics_fraction_disorder_promoting_ratio_hi,Disorder-promoting residues,cmp_biophysics_fraction_disorder_promoting_ratio >= 1.06738,cmp_biophysics_fraction_disorder_promoting_ratio,code,enriched,,False,1.067379859609182,,,percentile,60.0,,extended|truncated,45.69,8.82,62.64,1.86,40.0,2.17,,100.0,0.585,cmp_biophysics_disorder_ratio_hi,"ASPM, ATP9A, CDC34","ACBD5, AJUBA, CBX1",,"re-derived from the *_enriched boolean, whose 1.0 cutoff is hardcoded upstream and sits at the median",,
S,isoform_sae_n_shared_lo,Few shared features,isoform_sae_n_shared < 362.821,isoform_sae_n_shared,code,sweep,,False,362.821484375,,,break,12.0,0.6040268456375839,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,11.05,0.0,0.66,0.0,6.39,0.0,93.69,0.0,0.639,isoform_plm_vep_mean_llr_isoform_lo,"ADAR, APC, CCT3","ACBD5, AJUBA, ASPM",,,remove,"[separate-ORF artifact] Fires 94% on uORF/uoORF/internal-OOF but under 6% on extensions and truncations. Those ORFs have no shared region and are short, so this tracks that structural fact, not biology."
S,cmp_biophysics_pi_unique_hi,Basic unique region,cmp_biophysics_pI_unique >= 7.59144,cmp_biophysics_pI_unique,code,sweep,,False,7.591435156249999,,,break,58.0,0.8725490196078431,extended|truncated,48.35,8.82,64.86,1.86,42.82,2.17,,100.0,0.674,cmp_biophysics_pi_ratio_hi,"ASPM, CBX1, CBX1","ACBD5, AJUBA, ATP9A",,,,
S,cmp_biophysics_shannon_entropy_ratio_hi,Unique region diverse,cmp_biophysics_shannon_entropy_ratio >= 1,cmp_biophysics_shannon_entropy_ratio,code,sweep,,False,1.0,,,anchor,74.0,,extended|truncated,19.96,8.82,0.47,1.86,26.5,2.17,,100.0,0.78,cmp_biophysics_normalized_complexity_ratio_hi,"ATP9A, KMT2C, NUCKS1","ACBD5, AJUBA, ASPM",,,,
